genome,bad_class_bp,bad_class_n,bad_family_bp,bad_family_n,bad_genus_bp,bad_genus_n,bad_order_bp,bad_order_n,bad_phylum_bp,bad_phylum_n,bad_superkingdom_bp,bad_superkingdom_n,comment,f_ident,f_major,filter_at,good_class_bp,good_class_n,good_family_bp,good_family_n,good_genus_bp,good_genus_n,good_order_bp,good_order_n,good_phylum_bp,good_phylum_n,good_superkingdom_bp,good_superkingdom_n,ignored_contigs_bp,ignored_contigs_n,lineage,noident_contigs_bp,noident_contigs_n,total_bad_bp,total_contigs_bp,total_contigs_n
TARA_RED_MAG_00115.fa,89090,14,89090,14,89090,14,89090,14,89090,14,2927,1,,0.896124031007752,0.29425182481751827,genus,523735,73,523735,73,523735,73,523735,73,523735,73,609898,86,45609,14,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA11883,707108,183,89090,2184876,474
TARA_ANE_MAG_00088.fa,88039,17,88039,17,88039,17,88039,17,88039,17,88039,17,,0.8285714285714286,0.012552301255230125,genus,0,0,0,0,0,0,0,0,0,0,0,0,185588,58,d__Eukaryota,8082523,1817,88039,8390428,1900
TARA_PSW_MAG_00013.fa,82295,1,82295,1,82295,1,82295,1,82295,1,0,0,,0.9821731748726655,0.6287696824125968,genus,3441066,100,3441066,100,3441066,100,3441066,100,3441066,100,3577931,103,0,0,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio,5890,2,82295,3667697,118
TARA_IOS_MAG_00014.fa,81606,13,81606,13,81606,13,81606,13,81606,13,0,0,,0.9629742962056304,0.903511197124689,genus,3301916,245,3301916,245,3301916,245,3301916,245,3301916,245,3408721,259,19221,5,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae;g__UBA5691,76654,19,81606,3606855,309
TARA_RED_MAG_00114.fa,81159,15,81159,15,81159,15,81159,15,81159,15,81159,15,,0.8160919540229885,0.009631351710395218,genus,0,0,0,0,0,0,0,0,0,0,0,0,190667,61,d__Eukaryota,8953255,1959,81159,9255642,2042
TARA_ANW_MAG_00068.fa,78403,7,78403,7,78403,7,78403,7,78403,7,2618,1,,0.9609411764705882,0.78125,genus,2118311,164,2118311,164,2118311,164,2118311,164,2118311,164,2224048,172,5791,2,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C,292711,66,78403,2733339,279
TARA_ASE_MAG_00006.fa,16192,4,49078,9,78245,13,25908,5,16192,4,0,0,,0.9381884944920441,0.5538983050847458,genus,1789648,247,1738157,240,1692498,234,1762821,244,1789648,247,1805840,251,30678,10,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_D,314932,87,78245,2981946,545
TARA_SOC_MAG_00001.fa,14065,1,14065,1,77738,3,14065,1,14065,1,0,0,,0.9824657534246576,0.7914137033824805,genus,2306411,22,2306411,22,2242738,20,2306411,22,2306411,22,2320476,23,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA2638,0,0,77738,2320476,23
TARA_PSE_MAG_00142.fa,0,0,36743,2,77369,3,36743,2,0,0,0,0,,0.9852233676975946,0.9362934362934363,genus,2873528,362,2836785,360,2796159,359,2836785,360,2873528,362,2873528,362,15727,6,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_D,26699,3,77369,3126293,428
TARA_RED_MAG_00109.fa,11527,1,71545,3,75670,4,71545,3,11527,1,0,0,,0.9859353023909986,0.7717076700434153,genus,2274153,73,2214135,71,2210010,70,2214135,71,2274153,73,2285680,74,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__GCA-2727315,341951,26,75670,2708472,105
TARA_ANE_MAG_00051.fa,7790,1,7790,1,74895,8,7790,1,7790,1,0,0,,0.7549019607843137,0.36428571428571427,genus,717327,49,717327,49,516504,34,717327,49,717327,49,736665,51,11943,3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2697505,120119,27,74895,1129719,126
TARA_PSW_MAG_00062.fa,0,0,40059,7,70274,11,36735,6,0,0,0,0,,0.9195470798569726,0.48176859029572205,genus,2071136,255,1975280,245,1937439,240,2015000,248,2071136,255,2071136,255,32317,11,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_D,391522,91,70274,3467416,576
TARA_ASE_MAG_00007.fa,68955,7,68955,7,68955,7,68955,7,0,0,0,0,,0.9164619164619164,0.4788235294117647,genus,688870,114,688870,114,688870,114,688870,114,765115,122,768339,123,27637,9,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207,513554,116,68955,1647928,330
TARA_ANE_MAG_00092.fa,58442,4,58442,4,67611,5,58442,4,58442,4,0,0,,0.9716908951798011,0.40364422483014206,genus,1558915,192,1558915,192,1549746,191,1558915,192,1558915,192,1617357,196,32456,10,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas,538485,86,67611,3160019,503
TARA_PSW_MAG_00134.fa,0,0,19956,4,67343,9,19956,4,0,0,0,0,,0.9525810324129652,0.75011256190905,genus,1303450,269,1283494,265,1236107,260,1283494,265,1303450,269,1303450,269,50324,17,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Martelella,162065,44,67343,2227252,536
TARA_PON_MAG_00077.fa,66520,14,66520,14,66520,14,66520,14,66520,14,0,0,,0.9345955249569707,0.48356221389929255,genus,1160344,161,1160344,161,1160344,161,1160344,161,1160344,161,1226864,175,30482,10,d__Bacteria;p__Bdellovibrionota_B;c__Oligoflexia;o__Oligoflexales;f__Oligoflexaceae;g__GCA-2725955,898844,221,66520,2456520,476
TARA_PSW_MAG_00004.fa,0,0,64885,6,64885,6,8111,1,0,0,0,0,,0.983140655105973,0.9723653395784543,genus,4210971,72,4119513,65,4119513,65,4202860,71,4210971,72,4210971,72,4394,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax,30043,5,64885,4269650,83
TARA_ANW_MAG_00006.fa,0,0,0,0,64876,2,0,0,0,0,0,0,,0.9837504669406052,0.9741630276564774,genus,5467654,108,5467654,108,5402778,106,5467654,108,5467654,108,5467654,108,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter,11176,2,64876,5485499,112
TARA_PON_MAG_00071.fa,62744,10,62744,10,62744,10,62744,10,62744,10,0,0,,0.966093366093366,0.7607476635514019,genus,1940778,271,1940778,271,1940778,271,1940778,271,1940778,271,2018135,282,14711,5,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus,202823,41,62744,2607205,418
TARA_RED_MAG_00065.fa,60663,6,60663,6,60663,6,60663,6,60663,6,0,0,,0.9493041749502982,0.7750385208012327,genus,1055142,54,1055142,54,1055142,54,1055142,54,1055142,54,1115805,60,17538,5,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA887,148712,28,60663,1366999,111
TARA_PSE_MAG_00101.fa,0,0,0,0,60465,5,0,0,0,0,0,0,,0.9571589627959414,0.6918876755070202,genus,1976832,255,1945953,254,1916367,250,1945953,254,1976832,255,1976832,255,28265,9,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A,98072,19,60465,2557726,394
TARA_ASW_MAG_00018.fa,60130,5,60130,5,60130,5,60130,5,60130,5,0,0,,0.9576923076923077,0.813589628967367,genus,1903501,129,1903501,129,1903501,129,1903501,129,1903501,129,1963631,134,7403,2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952,113381,16,60130,2217978,184
TARA_PSE_MAG_00019.fa,57985,3,57985,3,57985,3,57985,3,0,0,0,0,,0.9798334064007015,0.9302610114192496,genus,2340379,110,2340379,110,2340379,110,2340379,110,2398364,113,2398364,113,2722,1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__UBA2964;g__GCA-2709075,43894,2,57985,2468928,122
TARA_ASE_MAG_00003.fa,0,0,53906,13,53906,13,53906,13,0,0,0,0,,0.9837246531483458,0.9215638062453897,genus,3667211,462,3613305,449,3613305,449,3613305,449,3667211,462,3667211,462,38005,13,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA7328,190408,39,53906,4242118,608
TARA_PON_MAG_00082.fa,53559,10,53559,10,53559,10,53559,10,53559,10,53559,10,,1.0,0.007057075646898601,genus,0,0,0,0,0,0,0,0,0,0,0,0,173999,55,d__Eukaryota,7865389,1674,53559,8114168,1743
TARA_RED_MAG_00004.fa,36752,1,53517,2,53517,2,53517,2,36752,1,0,0,,0.9741014799154334,0.9384920634920635,genus,2061479,29,2044714,28,2044714,28,2044714,28,2061479,29,2098231,30,0,0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__UBA828;g__GCA-2728135,2546,1,53517,2103638,32
TARA_RED_MAG_00069.fa,53313,10,53313,10,53313,10,53313,10,53313,10,0,0,,0.9079136690647482,0.5542264752791068,genus,1096382,21,1096382,21,1096382,21,1096382,21,1096382,21,1149695,31,0,0,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__GCA-2718595,0,0,53313,1204139,44
TARA_ION_MAG_00029.fa,0,0,0,0,52819,1,0,0,0,0,0,0,,0.9690660321237359,0.6465384615384615,genus,2188898,245,2188898,245,2119915,243,2188898,245,2188898,245,2188898,245,14733,5,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium,39881,10,52819,2680014,361
TARA_ION_MAG_00034.fa,51434,7,51434,7,51434,7,51434,7,51434,7,51434,7,,0.9506493506493506,0.6029757243539546,genus,918715,73,918715,73,918715,73,918715,73,918715,73,918715,73,8555,3,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O3,187182,35,51434,1322373,146
TARA_PSE_MAG_00129.fa,51190,13,51190,13,51190,13,51190,13,51190,13,51190,13,,0.7428571428571429,0.0227125243348475,genus,0,0,0,0,0,0,0,0,0,0,0,0,129775,46,d__Eukaryota,2926636,829,51190,3144407,897
TARA_PSE_MAG_00022.fa,51109,6,51109,6,51109,6,51109,6,8661,1,0,0,,0.9869829331790569,0.8765212981744422,genus,3282821,225,3282821,225,3282821,225,3282821,225,3325269,230,3333930,231,13264,3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315,432535,48,51109,3894688,309
TARA_MED_MAG_00139.fa,0,0,0,0,50586,5,0,0,0,0,0,0,,0.9726156751652503,0.683887633193413,genus,2352258,317,2352258,317,2277576,310,2352258,317,2352258,317,2352258,317,39889,13,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas,99933,20,50586,3108602,498
TARA_RED_MAG_00104.fa,0,0,49114,6,49114,6,0,0,0,0,0,0,,0.9718111346018323,0.4921956295525494,genus,1674245,230,1605957,221,1605957,221,1674245,230,1674245,230,1674245,230,38045,11,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter,457476,83,49114,2927257,496
TARA_ANE_MAG_00098.fa,48310,8,48310,8,48310,8,48310,8,48310,8,48310,8,,1.0,0.015034364261168385,genus,0,0,0,0,0,0,0,0,0,0,0,0,113344,40,d__Eukaryota,2167265,635,48310,2344935,686
TARA_PON_MAG_00061.fa,0,0,24491,3,47553,7,24491,3,0,0,0,0,,0.9554655870445344,0.7159420289855073,genus,3983728,136,3938718,132,3867510,126,3938718,132,3983728,136,3983728,136,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas,295986,24,47553,4476822,195
TARA_RED_MAG_00014.fa,47420,5,47420,5,47420,5,47420,5,0,0,0,0,,0.9594813614262561,0.7538179596823458,genus,1479990,23,1479990,23,1479990,23,1479990,23,1527410,28,1527410,28,0,0,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2979;f__UBA2979;g__UBA6955,29063,4,47420,1613292,33
TARA_PON_MAG_00004.fa,17770,1,46774,4,46774,4,46774,4,17770,1,0,0,,0.9715151515151516,0.9439359267734554,genus,1673664,65,1644660,62,1644660,62,1644660,62,1673664,65,1691434,66,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__UBA9148,44405,4,46774,1745536,72
TARA_ANE_MAG_00071.fa,27075,4,27075,4,46298,5,27075,4,27075,4,0,0,,0.9429530201342282,0.6827033218785796,genus,557578,70,557578,70,557578,70,557578,70,557578,70,603876,75,2913,1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MED-G13,166811,38,46298,846969,133
TARA_RED_MAG_00071.fa,29997,5,46272,6,46272,6,46272,6,29997,5,0,0,,0.9557399723374828,0.35756676557863504,genus,889213,107,872938,106,872938,106,872938,106,889213,107,919210,112,35636,10,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1100;g__UBA6614,281045,66,46272,2057091,338
TARA_ASE_MAG_00035.fa,46005,7,46005,7,46005,7,46005,7,46005,7,46005,7,,0.9545454545454546,0.0223463687150838,genus,0,0,0,0,0,0,0,0,0,0,0,0,87900,29,d__Eukaryota,1850417,541,46005,2004217,581
TARA_ANE_MAG_00096.fa,0,0,7865,2,44803,4,4099,1,0,0,0,0,,0.9642857142857143,0.6992864424057085,genus,1123002,222,1115137,220,1078199,218,1118903,221,1123002,222,1123002,222,50852,16,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas,158974,37,44803,2071192,474
TARA_PSW_MAG_00049.fa,44377,7,44377,7,44377,7,44377,7,44377,7,0,0,,0.9736603088101726,0.607280750137893,genus,1482901,121,1482901,121,1482901,121,1482901,121,1482901,121,1547978,130,2603,1,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA8592;g__UBA8592,112391,25,44377,1821452,183
TARA_PON_MAG_00029.fa,38311,4,43805,5,43805,5,43805,5,38311,4,0,0,,0.9844167408726625,0.7424793388429752,genus,2181864,307,2176370,306,2176370,306,2176370,306,2181864,307,2220175,311,35970,10,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10,323741,82,43805,3024430,517
TARA_IOS_MAG_00008.fa,0,0,43287,5,43287,5,43287,5,0,0,0,0,,0.9499352611135089,0.6945443645083933,genus,3299923,64,3117829,58,3117829,58,3117829,58,3299923,64,3299923,64,2647,1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis,33788,3,43287,3359870,72
TARA_PON_MAG_00023.fa,0,0,30901,3,43028,5,0,0,0,0,0,0,,0.9848959817611855,0.8250646602398307,genus,4137964,114,4107063,111,4083079,108,4137964,114,4137964,114,4137964,114,0,0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__UBA2009,124041,18,43028,4291755,138
TARA_PSE_MAG_00126.fa,19246,3,22377,4,42838,8,19246,3,19246,3,0,0,,0.9699499165275459,0.8731778425655977,genus,1465233,263,1462102,262,1441641,258,1465233,263,1465233,263,1484479,266,52390,17,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__BACL21,238007,58,42838,2062872,421
TARA_PSE_MAG_00144.fa,42609,3,42609,3,42609,3,42609,3,42609,3,0,0,,0.9919298245614036,0.7472469847928683,genus,3506721,198,3506721,198,3506721,198,3506721,198,3506721,198,3549330,201,9090,2,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas,129997,18,42609,3839010,251
TARA_ASW_MAG_00026.fa,33670,4,33670,4,42324,5,33670,4,33670,4,0,0,,0.9305555555555556,0.6656934306569343,genus,1527858,132,1527858,132,1519204,131,1527858,132,1527858,132,1675608,140,5342,2,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium,185173,21,42324,2014761,191
TARA_ASE_MAG_00032.fa,42267,9,42267,9,42267,9,42267,9,42267,9,42267,9,,1.0,0.003881924787707238,genus,0,0,0,0,0,0,0,0,0,0,0,0,209465,71,d__Eukaryota,12102965,2314,42267,12391309,2400
TARA_PSE_MAG_00083.fa,0,0,0,0,41887,5,0,0,0,0,0,0,,0.9836629406706793,0.9196099103848181,genus,3403759,303,3403759,303,3361872,298,3403759,303,3403759,303,3403759,303,22871,8,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Mesonia,130629,26,41887,3850852,401
