genome,filter_at,override_filter_at,total_bad_bp,superkingdom_bad_bp,phylum_bad_bp,class_bad_bp,order_bad_bp,family_bad_bp,genus_bad_bp,f_ident,f_major,lineage,comment
TARA_PSE_MAG_00142.fa,genus,,77369,0,0,0,36743,36743,77369,0.985,0.936,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_D,
TARA_RED_MAG_00109.fa,genus,,75670,0,11527,11527,71545,71545,75670,0.986,0.772,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__GCA-2727315,
TARA_ANE_MAG_00051.fa,genus,,74895,0,7790,7790,7790,7790,74895,0.755,0.364,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2697505,
TARA_PSW_MAG_00062.fa,genus,,70274,0,0,0,36735,40059,70274,0.92,0.482,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_D,
TARA_ASE_MAG_00007.fa,genus,,68955,0,0,68955,68955,68955,68955,0.916,0.479,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207,
TARA_ANE_MAG_00092.fa,genus,,67611,0,58442,58442,58442,58442,67611,0.972,0.404,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas,
TARA_PSW_MAG_00134.fa,genus,,67343,0,0,0,19956,19956,67343,0.953,0.75,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Martelella,
TARA_PON_MAG_00077.fa,genus,,66520,0,66520,66520,66520,66520,66520,0.935,0.484,d__Bacteria;p__Bdellovibrionota_B;c__Oligoflexia;o__Oligoflexales;f__Oligoflexaceae;g__GCA-2725955,
TARA_PSW_MAG_00004.fa,genus,,64885,0,0,0,8111,64885,64885,0.983,0.972,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax,
TARA_ANW_MAG_00006.fa,genus,,64876,0,0,0,0,0,64876,0.984,0.974,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Ketobacteraceae;g__Ketobacter,
TARA_PON_MAG_00071.fa,genus,,62744,0,62744,62744,62744,62744,62744,0.966,0.761,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Roseibacillus,
TARA_RED_MAG_00065.fa,genus,,60663,0,60663,60663,60663,60663,60663,0.949,0.775,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__UBA887,
TARA_PSE_MAG_00101.fa,genus,,60465,0,0,0,0,0,60465,0.957,0.692,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A,
TARA_ASW_MAG_00018.fa,genus,,60130,0,60130,60130,60130,60130,60130,0.958,0.814,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA952,
TARA_PSE_MAG_00019.fa,genus,,57985,0,0,57985,57985,57985,57985,0.98,0.93,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__UBA2964;g__GCA-2709075,
TARA_ASE_MAG_00003.fa,genus,,53906,0,0,0,53906,53906,53906,0.984,0.922,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA7328,
TARA_PON_MAG_00082.fa,genus,,53559,53559,53559,53559,53559,53559,53559,1.0,0.00706,d__Eukaryota,
TARA_RED_MAG_00004.fa,genus,,53517,0,36752,36752,53517,53517,53517,0.974,0.938,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__UBA828;g__GCA-2728135,
TARA_RED_MAG_00069.fa,genus,,53313,0,53313,53313,53313,53313,53313,0.908,0.554,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__GCA-2718595,
TARA_ION_MAG_00029.fa,genus,,52819,0,0,0,0,0,52819,0.969,0.647,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium,
TARA_ION_MAG_00034.fa,genus,,51434,51434,51434,51434,51434,51434,51434,0.951,0.603,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O3,
TARA_PSE_MAG_00129.fa,genus,,51190,51190,51190,51190,51190,51190,51190,0.743,0.0227,d__Eukaryota,
TARA_PSE_MAG_00022.fa,genus,,51109,0,8661,51109,51109,51109,51109,0.987,0.877,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Wenzhouxiangellaceae;g__GCA-2722315,
TARA_MED_MAG_00139.fa,genus,,50586,0,0,0,0,0,50586,0.973,0.684,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas,
TARA_RED_MAG_00104.fa,genus,,49114,0,0,0,0,49114,49114,0.972,0.492,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter,
TARA_ANE_MAG_00098.fa,genus,,48310,48310,48310,48310,48310,48310,48310,1.0,0.015,d__Eukaryota,
TARA_PON_MAG_00061.fa,genus,,47553,0,0,0,24491,24491,47553,0.955,0.716,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas,
TARA_RED_MAG_00014.fa,genus,,47420,0,0,47420,47420,47420,47420,0.959,0.754,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2979;f__UBA2979;g__UBA6955,
TARA_PON_MAG_00004.fa,genus,,46774,0,17770,17770,46774,46774,46774,0.972,0.944,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Coxiellales;f__Coxiellaceae;g__UBA9148,
TARA_ANE_MAG_00071.fa,genus,,46298,0,27075,27075,27075,27075,46298,0.943,0.683,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MED-G13,
TARA_RED_MAG_00071.fa,genus,,46272,0,29997,29997,46272,46272,46272,0.956,0.358,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__UBA1100;g__UBA6614,
TARA_ASE_MAG_00035.fa,genus,,46005,46005,46005,46005,46005,46005,46005,0.955,0.0223,d__Eukaryota,
TARA_ANE_MAG_00096.fa,genus,,44803,0,0,0,4099,7865,44803,0.964,0.699,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas,
TARA_PSW_MAG_00049.fa,genus,,44377,0,44377,44377,44377,44377,44377,0.974,0.607,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__UBA8592;g__UBA8592,
TARA_PON_MAG_00029.fa,genus,,43805,0,38311,38311,43805,43805,43805,0.984,0.742,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__SW10,
TARA_IOS_MAG_00008.fa,genus,,43287,0,0,0,43287,43287,43287,0.95,0.695,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Oceanicaulis,
TARA_PON_MAG_00023.fa,genus,,43028,0,0,0,0,30901,43028,0.985,0.825,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__UBA2009,
TARA_PSE_MAG_00126.fa,genus,,42838,0,19246,19246,19246,22377,42838,0.97,0.873,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__BACL21,
TARA_PSE_MAG_00144.fa,genus,,42609,0,42609,42609,42609,42609,42609,0.992,0.747,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas,
TARA_ASW_MAG_00026.fa,genus,,42324,0,33670,33670,33670,33670,42324,0.931,0.666,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium,
TARA_ASE_MAG_00032.fa,genus,,42267,42267,42267,42267,42267,42267,42267,1.0,0.00388,d__Eukaryota,
TARA_PSE_MAG_00083.fa,genus,,41887,0,0,0,0,0,41887,0.984,0.92,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Mesonia,
TARA_PSE_MAG_00138.fa,genus,,39631,0,8922,8922,8922,39631,39631,0.934,0.36,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145,
TARA_MED_MAG_00130.fa,genus,,39249,0,39249,39249,39249,39249,39249,0.968,0.285,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__MB11C04;g__MB11C04,
TARA_ANW_MAG_00079.fa,genus,,38995,38995,38995,38995,38995,38995,38995,1.0,0.0305,d__Eukaryota,
TARA_ANE_MAG_00074.fa,genus,,38455,0,38455,38455,38455,38455,38455,0.97,0.68,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__S36-B12;g__S36-B12,
TARA_PSW_MAG_00109.fa,genus,,37876,0,29530,29530,29530,37876,37876,0.973,0.816,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4421,
TARA_ASE_MAG_00016.fa,genus,,37156,0,0,0,0,0,37156,0.938,0.737,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O3,
TARA_ASW_MAG_00022.fa,genus,,37070,0,0,0,0,5798,37070,0.902,0.442,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Martelella,
TARA_PSE_MAG_00141.fa,genus,,36748,0,6922,6922,6922,6922,36748,0.973,0.696,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA8087,
TARA_MED_MAG_00128.fa,genus,,36312,18820,36312,36312,36312,36312,36312,0.981,0.607,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__EC70,
TARA_ANW_MAG_00009.fa,genus,,35384,0,0,0,35384,35384,35384,0.993,0.991,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Halioglobus,
TARA_PSE_MAG_00119.fa,genus,,34973,0,0,0,5035,5035,34973,0.963,0.699,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius,
TARA_ION_MAG_00014.fa,genus,,34245,0,0,0,0,0,34245,0.986,0.616,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__UBA2009,
TARA_ASW_MAG_00034.fa,genus,,34099,34099,34099,34099,34099,34099,34099,1.0,0.00875,d__Eukaryota,
TARA_PSE_MAG_00104.fa,genus,,33887,0,0,33887,33887,33887,33887,0.988,0.651,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Aestuariibacter_A,
TARA_RED_MAG_00021.fa,genus,,32710,27788,32710,32710,32710,32710,32710,0.934,0.486,d__Archaea;p__Halobacterota;c__Halobacteria;o__Halobacteriales;f__UBA12382;g__UBA12382,
TARA_MED_MAG_00125.fa,genus,,32263,0,0,0,0,0,32263,0.99,0.718,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Defluviicoccales;f__UBA830;g__GCA-2689465,
TARA_PON_MAG_00072.fa,genus,,32140,0,0,32140,32140,32140,32140,0.969,0.641,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA823;g__UBA11600,
TARA_ANE_MAG_00040.fa,genus,,32039,0,0,0,0,10941,32039,0.962,0.361,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-2693335,
TARA_ANE_MAG_00052.fa,genus,,31807,31807,31807,31807,31807,31807,31807,0.987,0.816,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__Thalassarchaeum,
TARA_ANW_MAG_00085.fa,genus,,30586,30586,30586,30586,30586,30586,30586,1.0,0.0165,d__Eukaryota,
TARA_ASW_MAG_00012.fa,genus,,30180,0,0,0,0,0,30180,0.97,0.558,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter,
TARA_PON_MAG_00065.fa,genus,,29835,0,0,0,0,0,29835,0.984,0.658,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__UBA12574,
TARA_PSW_MAG_00096.fa,genus,,29701,0,5469,5469,5469,29701,29701,0.977,0.973,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__UBA4466,
TARA_ANE_MAG_00080.fa,genus,,29548,0,29548,29548,29548,29548,29548,0.983,0.727,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Luminiphilus,
TARA_PSE_MAG_00118.fa,genus,,29399,0,8991,8991,24556,24556,29399,0.958,0.287,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas,
TARA_ANE_MAG_00078.fa,genus,,28391,3841,24738,24738,24738,28391,28391,0.921,0.324,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Litoricolaceae;g__Litoricola,
TARA_PON_MAG_00015.fa,genus,,28350,0,28350,28350,28350,28350,28350,0.99,0.671,d__Bacteria;p__Myxococcota;c__Bradimonadia;o__UBA7976;f__UBA1532;g__UBA1532,
TARA_ANE_MAG_00039.fa,genus,,28333,0,0,0,28333,28333,28333,0.968,0.472,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__GCA-002694895;g__GCA-002694895,
TARA_IOS_MAG_00038.fa,genus,,25363,0,0,0,0,4894,25363,0.971,0.598,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-L1,
TARA_MED_MAG_00058.fa,genus,,23968,0,0,18627,18627,23968,23968,0.994,0.706,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Oleibacter,
TARA_RED_MAG_00050.fa,genus,,23564,0,5643,5643,23564,23564,23564,0.994,0.836,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__UBA8437,
TARA_PSE_MAG_00106.fa,genus,,23146,0,0,19903,23146,23146,23146,0.988,0.97,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas,
TARA_ASE_MAG_00014.fa,genus,,23088,0,0,0,0,0,23088,0.953,0.31,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__MedAcidi-G2B,
TARA_ION_MAG_00058.fa,genus,,22390,0,0,0,22390,22390,22390,0.981,0.669,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E,
TARA_PON_MAG_00053.fa,genus,,21922,0,17840,17840,21922,21922,21922,0.991,0.903,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__GCA-2731375;f__GCA-2731375;g__GCA-2731375,
TARA_ION_MAG_00067.fa,genus,,21768,0,0,21768,21768,21768,21768,0.998,0.8,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Oleibacter,
TARA_PSE_MAG_00120.fa,genus,,21458,0,0,21458,21458,21458,21458,0.981,0.728,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_D,
TARA_ASW_MAG_00011.fa,genus,,21315,0,0,0,0,0,21315,0.995,0.74,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1,
TARA_IOS_MAG_00033.fa,genus,,21236,0,0,0,0,21236,21236,0.971,0.412,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__Casp-actino5,
TARA_PSW_MAG_00012.fa,genus,,21225,0,0,0,0,21225,21225,0.993,0.962,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__GCA-002722245;g__GCA-002722245,
TARA_IOS_MAG_00022.fa,genus,,20888,20888,20888,20888,20888,20888,20888,0.99,0.877,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O2,
TARA_ANW_MAG_00011.fa,genus,,20861,0,0,0,0,0,20861,0.979,0.621,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thioclava,
TARA_IOS_MAG_00067.fa,genus,,20555,0,0,0,0,20555,20555,0.991,0.569,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter,
TARA_ANE_MAG_00081.fa,genus,,20060,0,20060,20060,20060,20060,20060,0.983,0.576,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__UBA721,
TARA_PSE_MAG_00133.fa,genus,,20043,0,0,10055,10055,16422,20043,0.986,0.705,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Saccharospirillaceae;g__Thalassolituus,
TARA_PON_MAG_00066.fa,genus,,19831,0,19831,19831,19831,19831,19831,0.988,0.838,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA8438;g__UBA8438,
TARA_ANW_MAG_00075.fa,genus,,19450,19450,19450,19450,19450,19450,19450,0.8,0.00572,d__Eukaryota,
TARA_PSE_MAG_00097.fa,genus,,19416,0,13101,13101,13101,13101,19416,0.991,0.597,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__Rubinisphaera,
TARA_PON_MAG_00044.fa,genus,,19135,0,0,0,0,0,19135,0.994,0.877,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__UBA1547,
TARA_MED_MAG_00026.fa,genus,,18941,18941,18941,18941,18941,18941,18941,0.993,0.904,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__UBA11654,
TARA_PON_MAG_00019.fa,genus,,18564,0,18564,18564,18564,18564,18564,0.988,0.457,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UBA3478,
TARA_ASW_MAG_00025.fa,genus,,18518,0,4550,4550,4550,4550,18518,0.913,0.378,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__MedAcidi-G2B,
TARA_PSW_MAG_00060.fa,genus,,18308,0,0,0,0,18308,18308,0.998,0.777,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145,
TARA_PON_MAG_00038.fa,genus,,17791,0,17791,17791,17791,17791,17791,0.977,0.771,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Litoricolaceae;g__Litoricola,
TARA_PSW_MAG_00029.fa,genus,,17750,0,0,0,0,0,17750,0.979,0.78,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseovarius,
TARA_ASW_MAG_00024.fa,genus,,17675,0,0,0,0,0,17675,0.945,0.684,d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O5,
